mw repi rjb rhypo width length depth dip rake strike ztor azimuth rx ry0 rrup vs30 vs30measured ec8_code
6.1 212.9 194.29 213.11184856783538 11.0 34.0 9.5 40.0 90.0 114.0 1.0 320.0 -124.88720468599777 148.8347748535862 194.46 800 True A
6.1 405.1 387.51 405.21137693801245 11.0 34.0 9.5 40.0 90.0 114.0 1.0 331.5 -184.90379118820098 340.5504193276381 387.6 800 True A
6.1 202.6 184.31 202.82260722118724 11.0 34.0 9.5 40.0 90.0 114.0 1.0 323.7 -109.11394898448414 148.54064170122396 184.48 800 True A
6.1 92.4 77.85 92.88708198667887 11.0 34.0 9.5 40.0 90.0 114.0 1.0 153.0 36.915171440855005 72.45010328234572 77.86 800 True A
6.1 107.5 100.25 107.91895106977273 11.0 34.0 9.5 40.0 90.0 114.0 1.0 40.1 67.93589645006816 80.67647060935515 100.58 800 True A
6.1 214.2 206.3 214.41056410540966 11.0 34.0 9.5 40.0 90.0 114.0 1.0 221.4 -136.42863781626943 154.7479136647638 206.3 800 True A
6.0 111.8 102.51 112.09087786256293 12.0 22.0 8.07 60.0 90.0 95.0 3.7 50.6 82.74093711066045 67.96417196860166 103.48 800 True A
6.0 135.7 130.06 135.93974731475706 12.0 22.0 8.07 60.0 90.0 95.0 3.7 333.9 -57.21848843146036 116.79746650342565 130.82 1000.0 False A
6.0 111.6 107.07 111.89139779268109 12.0 22.0 8.07 60.0 90.0 95.0 3.7 341.3 -34.3280329020083 101.41780443826731 108.0 1000.0 False A
6.0 175.3 163.16 175.48565439944088 12.0 22.0 8.07 60.0 90.0 95.0 3.7 74.2 162.54279861384646 45.994975835896646 163.77 1152.0 False A
6.0 238.9 228.22 239.03626273015564 12.0 22.0 8.07 60.0 90.0 95.0 3.7 249.5 -213.76732703026929 79.92432855103569 228.25 800 True A
6.0 80.6 75.47 81.00299315457423 12.0 22.0 8.07 60.0 90.0 95.0 3.7 186.6 -8.67430674769663 74.96984261986192 75.56 800 True A
6.0 125.1 116.72 125.36002113911755 12.0 22.0 8.07 60.0 90.0 95.0 3.7 211.9 -61.67932242879235 99.09197538007341 116.78 800 True A
6.0 88.9 80.4 89.26824743434813 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 319.8 -51.89479809300563 61.40920070222523 80.41 800 True A
6.0 230.2 225.26 230.34140943390963 12.0 22.0 8.07 60.0 90.0 95.0 3.7 338.9 -81.09288099712282 210.1571132547896 225.71 800 True A
6.0 219.3 211.45 219.44843335052545 12.0 22.0 8.07 60.0 90.0 95.0 3.7 315.9 -147.1507608394449 151.84780566202622 211.93 800 True A
6.0 256.9 251.01 257.0267202062851 12.0 22.0 8.07 60.0 90.0 95.0 3.7 332.5 -115.90351940812579 222.64858923606545 251.42 800 True A
6.0 408.1 401.64 408.17978257135667 12.0 22.0 8.07 60.0 90.0 95.0 3.7 329.1 -206.25870847664328 344.6331887348447 401.9 800 True A
6.0 208.0 200.5 208.15649137127576 12.0 22.0 8.07 60.0 90.0 95.0 3.7 319.3 -130.74572996799355 152.0059344076293 201.01 800 True A
6.0 92.3 83.22 92.65211762285847 12.0 22.0 8.07 60.0 90.0 95.0 3.7 163.4 24.207875767956512 81.2037047185574 83.3 800 True A
6.0 229.0 219.53 229.14214998554937 12.0 22.0 8.07 60.0 90.0 95.0 3.7 223.4 -150.83632124689504 159.50493751825832 219.56 800 True A
6.5 106.8 89.26 107.19552229454362 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 320.9 -56.29412257131664 69.26990229475987 89.26 800 True A
6.1 53.7 37.93 54.33764809043542 15.0 20.0 8.3 50.0 -90.0 140.0 0.5 301.8 -32.236429844991754 19.987433323188977 37.93 800 True A
6.5 20.1 18.61 22.1054291973714 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 80.3 27.552196707097437 4.7095832310734185 21.27 800 True A
6.0 37.7 28.67 38.560342322131945 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 277.2 -28.443928486686083 3.5933038062886027 28.67 800 True A
6.5 51.3 32.86 52.118422846436935 14.0 26.0 9.2 47.0 -95.0 151.0 0.0124 292.6 -30.336687734332553 12.627944302601156 32.86 800 True A
6.4 186.9 167.37 186.9868979367271 9.0 16.0 5.7 30.0 105.0 290.0 2.0 63.2 155.56888928876955 78.58350061167693 167.38 800 True A
6.0 180.1 175.17 180.45414930114518 6.4 10.0 11.3 35.0 110.0 276.0 6.5 60.7 156.7309906288391 87.95332995170627 175.29 800 True A
6.0 164.8 157.13 164.99893939053064 16.0 26.0 8.1 50.0 -85.0 156.0 0.4 330.2 -78.08951849625987 136.35198568785967 157.13 800 True A
